uid,lat,lon,heading,country,city,district,ward,image_path
37,10.767679499475788,106.70099090091747,329.5475964307036,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_37.jpg
38,10.768068503153096,106.700758087056,329.5475964307036,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_38.jpg
39,10.779828199466056,106.68998480093468,133.36580857299074,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_39.jpg
40,10.779518885325617,106.69031816494451,133.36580857299074,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_40.jpg
41,10.779209570923458,106.69065152826629,133.36580857299074,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_41.jpg
42,10.779828199466056,106.68998480093468,312.81211178169724,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_42.jpg
43,10.780134315008086,106.68964842993076,312.81211178169724,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_43.jpg
44,10.773625199471962,106.69735390092424,57.20260631395027,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_44.jpg
45,10.773850141237077,106.69775023296936,57.20260631395027,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_45.jpg
46,10.774102012405912,106.69812946608693,57.20260631395027,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_46.jpg
47,10.773625199471962,106.69735390092424,148.3029768519192,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_47.jpg
48,10.773241319764734,106.69759526299651,148.3029768519192,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_48.jpg
49,10.77820499946699,106.690781000933,132.09891780969852,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_49.jpg
50,10.777903044662002,106.69112119459608,132.09891780969852,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_50.jpg
51,10.77771619946744,106.69133170093224,312.09902079249247,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_51.jpg
52,10.778018154443584,106.69099150769615,312.09902079249247,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_52.jpg
53,10.77771619946744,106.69133170093224,221.9957087188888,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_53.jpg
54,10.777381252965384,106.6910247189243,221.9957087188888,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_54.jpg
55,10.777046298770882,106.69071774573094,221.9957087188888,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_55.jpg
56,10.774210499472272,106.6982785009237,237.20277915315305,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_56.jpg
57,10.773947384560428,106.69790700483922,237.20277915315305,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_57.jpg
58,10.773713304113327,106.6975161043516,237.20277915315305,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_58.jpg
59,10.76726989947605,106.70123690091704,329.4589208898204,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_59.jpg
60,10.767658549098886,106.70100348343551,329.4589208898204,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_60.jpg
61,10.767106199475938,106.70094170091724,200.63189994702364,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_61.jpg
62,10.76597589947276,106.69435060092285,335.466434630062,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_62.jpg
63,10.766386795153226,106.6941603030052,335.466434630062,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_63.jpg
64,10.770349299470732,106.6931420009264,346.6660700868466,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_64.jpg
65,10.77070878866694,106.69297432954184,346.6660700868466,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_65.jpg
66,10.771016413750148,106.6930265895311,346.6660700868466,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_66.jpg
67,10.771110699470396,106.692958300927,166.66603575709016,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_67.jpg
