uid,lat,lon,heading,district,ward,pct_other,pct_vegetation,pct_sky,pct_building,pct_pavement_road,pct_water,pct_vehicle_clutter,gvi,svi,bvi,hardscape_index,lst_kelvin,lst_celsius,ndvi,emissivity,palsar_hh_db,palsar_hv_db,palsar_hv_hh_ratio,palsar_glcm_contrast,palsar_glcm_homogeneity,palsar_glcm_energy,elevation_m,sky_view_factor,landcover_class
2964,10.78008299947093,106.69922890092604,42.5115007237083,District 1,Ben Thanh,0.88252197265625,0.00599853515625,4.8828125e-06,0.00403076171875,0.03490966796875,0.05086181640625,0.02167236328125,0.00599853515625,4.8828125e-06,0.00403076171875,0.0606127929687499,313.7383117675781,40.58831176757815,0.06265753507614136,2.7732999324798584,-1.812518818680843,-6.715048085361602,3.7048156499963047,2468.1499999999996,0.01924275096192989,0.158113883008419,16.0,0.9828006924092685,2.0
2965,10.780415209608591,106.69953890943272,42.5115007237083,District 1,Ben Thanh,0.7438671875,0.04251220703125,9.033203125e-05,0.0027197265625,0.06519287109375,0.1049462890625,0.04067138671875,0.04251220703125,9.033203125e-05,0.0027197265625,0.108583984375,314.1108703613281,40.96087036132815,0.06293249130249023,2.7742998600006104,-4.105412793934079,-7.038041358750277,1.7143322028784247,1629.9,0.0181352686515635,0.15811388300841897,17.0,0.9910369327869432,2.0
2966,10.780747419325388,106.69984891862858,42.5115007237083,District 1,Ben Thanh,0.84137939453125,0.005419921875,0.0,0.00371337890625,0.02750244140625,0.1011474609375,0.02083740234375,0.005419921875,0.0,0.00371337890625,0.05205322265625,313.8852844238281,40.73528442382815,0.06174999475479126,2.7699999809265137,0.2441166235402079,-8.93417243762677,-36.59796825002064,4893.6,0.006263977397742157,0.15811388300841897,20.0,0.9990203520860461,2.0
2967,10.78008299947093,106.69922890092604,133.6241988644,District 1,Ben Thanh,0.89447509765625,0.00603515625,0.00011474609375,0.003193359375,0.02013427734375,0.05767578125,0.01837158203125,0.00603515625,0.00011474609375,0.003193359375,0.04169921875,313.7383117675781,40.58831176757815,0.06265753507614136,2.7732999324798584,-1.812518818680843,-6.715048085361602,3.7048156499963047,2468.1499999999996,0.01924275096192989,0.158113883008419,16.0,0.9828006924092685,2.0
2968,10.779772204021214,106.69956085001412,133.6241988644,District 1,Ben Thanh,0.9100732421875,0.00078369140625,0.0,0.00476806640625,0.01496826171875,0.04259521484375,0.0268115234375,0.00078369140625,0.0,0.00476806640625,0.0465478515625,314.2168273925781,41.06682739257815,0.06411504745483398,2.778599977493286,-8.977278678149474,-14.781082826244514,1.6464992740195743,5323.700000000001,0.010631107889659196,0.15811388300841897,16.0,0.9828140417841621,2.0
2969,10.780790599470528,106.69889440092676,311.42659829354096,District 1,Ben Thanh,0.86687744140625,0.00594970703125,4.39453125e-05,0.00242919921875,0.03570068359375,0.069521484375,0.0194775390625,0.00594970703125,4.39453125e-05,0.00242919921875,0.0576074218749999,313.12646484375,39.97646484375002,0.06084251403808594,2.766700029373169,-7.85359806906655,-12.910582750111615,1.6439067337763722,5065.400000000001,0.01667347636863127,0.15811388300841897,13.0,0.9852087320696714,2.0
2970,10.781088587984213,106.69855064761802,311.42659829354096,District 1,Ben Thanh,0.8967529296875,0.00912841796875,6.34765625e-05,0.00214599609375,0.02878173828125,0.05511474609375,0.0080126953125,0.00912841796875,6.34765625e-05,0.00214599609375,0.0389404296875,312.31298828125,39.16298828125002,0.05707502365112305,2.753000020980835,-1.5866849309254434,-10.087625235146092,6.3576738132014805,4497.4,0.0036457276621216445,0.15811388300841897,21.0,0.9957597192143727,2.0
2971,10.780790599470528,106.69889440092676,218.66061704801504,District 1,Ben Thanh,0.9285693359375,0.00304443359375,0.0,0.00115234375,0.0154052734375,0.04495849609375,0.0068701171875,0.00304443359375,0.0,0.00115234375,0.023427734375,313.12646484375,39.97646484375002,0.06084251403808594,2.766700029373169,-7.85359806906655,-12.910582750111615,1.6439067337763722,5065.400000000001,0.01667347636863127,0.15811388300841897,13.0,0.9852087320696714,2.0
2972,10.78046462953308,106.69857768827282,218.66061704801504,District 1,Ben Thanh,0.82294189453125,0.00640380859375,0.0002392578125,0.00187255859375,0.03631103515625,0.10124267578125,0.03098876953125,0.00640380859375,0.0002392578125,0.00187255859375,0.06917236328125,312.70947265625,39.55947265625002,0.05946749448776245,2.761699914932251,-5.596605577271191,-10.87452293660023,1.9430568737528329,2916.55,0.0077279443613568494,0.15811388300841897,16.0,0.9700824713119607,2.0
2973,10.781169099470596,106.69924350092666,41.60655355241976,District 1,Ben Thanh,0.8643994140625,0.0133837890625,0.00020263671875,0.00239990234375,0.04203369140625,0.06560546875,0.01197509765625,0.0133837890625,0.00020263671875,0.00239990234375,0.05640869140625,312.64111328125,39.49111328125002,0.057542502880096436,2.754699945449829,-0.46828144091324475,-4.742810496752895,10.128119721130615,3662.6499999999987,0.0014980420453455084,0.15811388300841892,12.0,0.9892919371708221,2.0
