uid,lat,lon,heading,district,ward,pct_other,pct_vegetation,pct_sky,pct_building,pct_pavement_road,pct_water,pct_vehicle_clutter,gvi,svi,bvi,hardscape_index
2964,10.78008299947093,106.69922890092604,42.5115007237083,District 1,Ben Thanh,0.88252197265625,0.00599853515625,4.8828125e-06,0.00403076171875,0.03490966796875,0.05086181640625,0.02167236328125,0.00599853515625,4.8828125e-06,0.00403076171875,0.0606127929687499
2965,10.780415209608591,106.69953890943272,42.5115007237083,District 1,Ben Thanh,0.7438671875,0.04251220703125,9.033203125e-05,0.0027197265625,0.06519287109375,0.1049462890625,0.04067138671875,0.04251220703125,9.033203125e-05,0.0027197265625,0.108583984375
2966,10.780747419325388,106.69984891862858,42.5115007237083,District 1,Ben Thanh,0.84137939453125,0.005419921875,0.0,0.00371337890625,0.02750244140625,0.1011474609375,0.02083740234375,0.005419921875,0.0,0.00371337890625,0.05205322265625
2967,10.78008299947093,106.69922890092604,133.6241988644,District 1,Ben Thanh,0.89447509765625,0.00603515625,0.00011474609375,0.003193359375,0.02013427734375,0.05767578125,0.01837158203125,0.00603515625,0.00011474609375,0.003193359375,0.04169921875
2968,10.779772204021214,106.69956085001412,133.6241988644,District 1,Ben Thanh,0.9100732421875,0.00078369140625,0.0,0.00476806640625,0.01496826171875,0.04259521484375,0.0268115234375,0.00078369140625,0.0,0.00476806640625,0.0465478515625
2969,10.780790599470528,106.69889440092676,311.42659829354096,District 1,Ben Thanh,0.86687744140625,0.00594970703125,4.39453125e-05,0.00242919921875,0.03570068359375,0.069521484375,0.0194775390625,0.00594970703125,4.39453125e-05,0.00242919921875,0.0576074218749999
2970,10.781088587984213,106.69855064761802,311.42659829354096,District 1,Ben Thanh,0.8967529296875,0.00912841796875,6.34765625e-05,0.00214599609375,0.02878173828125,0.05511474609375,0.0080126953125,0.00912841796875,6.34765625e-05,0.00214599609375,0.0389404296875
2971,10.780790599470528,106.69889440092676,218.66061704801504,District 1,Ben Thanh,0.9285693359375,0.00304443359375,0.0,0.00115234375,0.0154052734375,0.04495849609375,0.0068701171875,0.00304443359375,0.0,0.00115234375,0.023427734375
2972,10.78046462953308,106.69857768827282,218.66061704801504,District 1,Ben Thanh,0.82294189453125,0.00640380859375,0.0002392578125,0.00187255859375,0.03631103515625,0.10124267578125,0.03098876953125,0.00640380859375,0.0002392578125,0.00187255859375,0.06917236328125
2973,10.781169099470596,106.69924350092666,41.60655355241976,District 1,Ben Thanh,0.8643994140625,0.0133837890625,0.00020263671875,0.00239990234375,0.04203369140625,0.06560546875,0.01197509765625,0.0133837890625,0.00020263671875,0.00239990234375,0.05640869140625
2974,10.781506112211424,106.69954816187968,41.60655355241976,District 1,Ben Thanh,0.86466796875,0.00685546875,0.0001220703125,0.00472900390625,0.0487109375,0.0553564453125,0.01955810546875,0.00685546875,0.0001220703125,0.00472900390625,0.072998046875
2975,10.781113199470653,106.69930490092656,41.82654928118342,District 1,Ben Thanh,0.85814697265625,0.00848876953125,0.0004150390625,0.0023388671875,0.05631103515625,0.0613720703125,0.01292724609375,0.00848876953125,0.0004150390625,0.0023388671875,0.0715771484375
2976,10.781449045229376,106.69961087715666,41.82654928118342,District 1,Ben Thanh,0.87196533203125,0.0012841796875,2.685546875e-05,0.00557373046875,0.03723876953125,0.06459228515625,0.01931884765625,0.0012841796875,2.685546875e-05,0.00557373046875,0.06213134765625
2977,10.769591099475592,106.70175730091783,157.7859260038745,District 1,Ben Thanh,0.6776025390625,0.04357666015625,9.033203125e-05,0.0036181640625,0.123642578125,0.1174853515625,0.033984375,0.04357666015625,9.033203125e-05,0.0036181640625,0.1612451171875
2978,10.76917302556248,106.70193109687816,157.7859260038745,District 1,Ben Thanh,0.79584716796875,0.02722412109375,0.00010498046875,0.0037548828125,0.0518408203125,0.1020703125,0.01915771484375,0.02722412109375,0.00010498046875,0.0037548828125,0.07475341796875
2979,10.769382899470564,106.69225270092672,330.9768503601361,District 1,Co Giang,0.70235107421875,0.04496337890625,1.953125e-05,0.0021484375,0.0876123046875,0.13378662109375,0.02911865234375,0.04496337890625,1.953125e-05,0.0021484375,0.11887939453125
2980,10.76977755825888,106.69203229529305,330.9768503601361,District 1,Co Giang,0.80451904296875,0.03370361328125,0.0001171875,0.00351318359375,0.03718994140625,0.09704833984375,0.02390869140625,0.03370361328125,0.0001171875,0.00351318359375,0.06461181640625
2981,10.769382899470564,106.69225270092672,247.68247413348303,District 1,Co Giang,0.69280029296875,0.048115234375,6.8359375e-05,0.0070263671875,0.11842529296875,0.09316162109375,0.04040283203125,0.048115234375,6.8359375e-05,0.0070263671875,0.1658544921875
