osmid,y,x,street_count,highway,ref,railway,geometry,lon,lat,lst_kelvin,lst_celsius,ndvi,emissivity,palsar_hh_db,palsar_hv_db,palsar_hv_hh_ratio,palsar_glcm_contrast,palsar_glcm_homogeneity,palsar_glcm_energy,elevation_m,sky_view_factor,landcover_class
366367367,10.8139013,106.7324492,1,,,,POINT (106.7324492 10.8139013),106.7324492,10.8139013,311.23974609375,38.08974609375002,0.05308753252029419,2.738499879837036,-6.660599244854012,-10.774032754071413,1.6175770914899956,6199.799999999999,0.03124394901168935,0.15811388300841897,10.0,0.9999706706534335,2.0
366368182,10.7421444,106.6709134,3,,,,POINT (106.6709134 10.7421444),106.6709134,10.7421444,314.60992431640625,41.45992431640627,0.03152751922607422,2.660099983215332,2.644282661246706,-11.333756960338448,-4.2861367003007524,3650.35,0.008234268827924352,0.16583123951776998,9.0,0.9987355803248905,2.0
366368194,10.7902412,106.7095438,3,,,,POINT (106.7095438 10.7902412),106.7095438,10.7902412,314.4355773925781,41.28557739257815,0.049045026302337646,2.72379994392395,5.584383506420181,-0.06256193828522782,-0.011203016091803585,2781.0,0.00780304209004748,0.15811388300841897,7.0,0.9936739088419048,2.0
366368313,10.7546276,106.6841396,4,,,,POINT (106.6841396 10.7546276),106.6841396,10.7546276,314.1587219238281,41.00872192382815,0.06521499156951904,2.782599925994873,3.69148743509858,-10.945781100848848,-2.9651410964525047,3170.6000000000004,0.10799343925454369,0.16583123951777,12.0,0.999859085936691,2.0
366368540,10.742907,106.6727592,4,,,,POINT (106.6727592 10.742907),106.6727592,10.742907,313.7964172363281,40.64641723632815,0.031637489795684814,2.6605000495910645,7.113307940956574,-10.50817081746304,-1.477255153957237,4261.0,0.003136628006954684,0.15811388300841897,6.0,0.9901222281275514,2.0
366368861,10.8081057,106.7290197,4,,,,POINT (106.7290197 10.8081057),106.7290197,10.8081057,313.4546203613281,40.30462036132815,0.05913752317428589,2.760499954223633,4.946631407822565,-8.276852494537366,-1.6732300857202367,5048.749999999999,0.04002347657193227,0.15811388300841892,6.0,0.9975103603202566,2.0
366368862,10.7307777,106.6469638,3,,,,POINT (106.6469638 10.7307777),106.6469638,10.7307777,315.75836181640625,42.60836181640627,0.03936499357223511,2.6885998249053955,-7.058806106000588,-18.603072279512787,2.6354417447022076,3962.9,0.04256725080148975,0.15811388300841897,4.0,0.9954591248335205,2.0
366369015,10.7916014,106.7332519,3,,,,POINT (106.7332519 10.7916014),106.7332519,10.7916014,314.4219055175781,41.27190551757815,0.06282252073287964,2.773900032043457,-3.9878355043153846,-11.645360749038616,2.9202209410184397,8266.8,0.025660931260033396,0.15811388300841897,8.0,0.999444723168197,2.0
366369081,10.8120658,106.724416,3,,,,POINT (106.724416 10.8120658),106.724416,10.8120658,310.73388671875,37.58388671875002,0.05234503746032715,2.73580002784729,-4.889479031299032,-9.090366470196045,1.8591687196132478,3041.15,0.029457385287038222,0.158113883008419,4.0,0.9982202133858046,2.0
366369338,10.7270634,106.6519265,3,,,,POINT (106.6519265 10.7270634),106.6519265,10.7270634,314.76715087890625,41.61715087890627,0.061805009841918945,2.77020001411438,-7.076842461861702,-14.437304119424226,2.040077082007872,1569.2999999999995,0.032071997417664054,0.15811388300841894,4.0,0.9921508142194144,2.0
