uid,file_name,rel_dir,total_pixels,count_other,pct_other,count_vegetation,pct_vegetation,count_sky,pct_sky,count_building,pct_building,count_pavement_road,pct_pavement_road,count_water,pct_water,count_vehicle_clutter,pct_vehicle_clutter
2992,superclass_2992.png,district_1/ben_thanh,409600,361833,0.88338134765625,5034,0.0122900390625,31,7.568359375e-05,1099,0.00268310546875,10930,0.0266845703125,30673,0.07488525390625,0,0.0
2993,superclass_2993.png,district_1/ben_thanh,409600,328851,0.80285888671875,14016,0.03421875,31,7.568359375e-05,1312,0.003203125,25306,0.0617822265625,40084,0.097861328125,0,0.0
2994,superclass_2994.png,district_1/ben_thanh,409600,330465,0.80679931640625,13971,0.03410888671875,64,0.00015625,983,0.00239990234375,13090,0.0319580078125,51027,0.12457763671875,0,0.0
2995,superclass_2995.png,district_1/ben_thanh,409600,349143,0.85239990234375,9557,0.02333251953125,16,3.90625e-05,4167,0.01017333984375,16636,0.040615234375,30081,0.07343994140625,0,0.0
2996,superclass_2996.png,district_1/ben_thanh,409600,316307,0.77223388671875,13318,0.0325146484375,69,0.00016845703125,1180,0.002880859375,29957,0.07313720703125,48769,0.11906494140625,0,0.0
2997,superclass_2997.png,district_1/ben_thanh,409600,329439,0.80429443359375,11114,0.0271337890625,17,4.150390625e-05,918,0.0022412109375,19129,0.04670166015625,48983,0.11958740234375,0,0.0
2998,superclass_2998.png,district_1/ben_thanh,409600,335706,0.8195947265625,13917,0.03397705078125,33,8.056640625e-05,1214,0.0029638671875,18361,0.04482666015625,40369,0.09855712890625,0,0.0
2999,superclass_2999.png,district_1/ben_thanh,409600,365777,0.89301025390625,2569,0.00627197265625,19,4.638671875e-05,2022,0.0049365234375,7646,0.0186669921875,31567,0.07706787109375,0,0.0
3000,superclass_3000.png,district_1/ben_thanh,409600,368143,0.89878662109375,2961,0.00722900390625,3,7.32421875e-06,2250,0.0054931640625,20673,0.05047119140625,15570,0.0380126953125,0,0.0
3001,superclass_3001.png,district_1/ben_thanh,409600,366917,0.89579345703125,3026,0.0073876953125,2,4.8828125e-06,1846,0.0045068359375,9383,0.02290771484375,28426,0.0693994140625,0,0.0
3002,superclass_3002.png,district_1/ben_thanh,409600,344471,0.84099365234375,3572,0.008720703125,85,0.00020751953125,748,0.001826171875,17327,0.04230224609375,43397,0.10594970703125,0,0.0
3003,superclass_3003.png,district_1/ben_thanh,409600,346783,0.84663818359375,1816,0.00443359375,49,0.00011962890625,1085,0.00264892578125,17896,0.04369140625,41971,0.10246826171875,0,0.0
3004,superclass_3004.png,district_1/ben_thanh,409600,339335,0.82845458984375,5871,0.01433349609375,48,0.0001171875,1467,0.00358154296875,24609,0.06008056640625,38270,0.0934326171875,0,0.0
3005,superclass_3005.png,district_1/ben_thanh,409600,349321,0.85283447265625,3871,0.00945068359375,35,8.544921875e-05,1236,0.003017578125,21900,0.053466796875,33237,0.08114501953125,0,0.0
3006,superclass_3006.png,district_1/ben_thanh,409600,343948,0.839716796875,6057,0.01478759765625,50,0.0001220703125,1485,0.00362548828125,31403,0.07666748046875,26657,0.06508056640625,0,0.0
3007,superclass_3007.png,district_1/ben_thanh,409600,352170,0.8597900390625,4358,0.0106396484375,25,6.103515625e-05,2595,0.00633544921875,12403,0.03028076171875,38049,0.09289306640625,0,0.0
3008,superclass_3008.png,district_1/ben_thanh,409600,333756,0.814833984375,9322,0.0227587890625,35,8.544921875e-05,1193,0.00291259765625,17911,0.04372802734375,47383,0.11568115234375,0,0.0
3009,superclass_3009.png,district_1/ben_thanh,409600,376086,0.9181787109375,2931,0.00715576171875,5,1.220703125e-05,1939,0.00473388671875,6664,0.01626953125,21975,0.05364990234375,0,0.0
3010,superclass_3010.png,district_1/ben_thanh,409600,309350,0.7552490234375,11375,0.02777099609375,34,8.30078125e-05,1192,0.00291015625,39962,0.0975634765625,47687,0.11642333984375,0,0.0
3011,superclass_3011.png,district_1/ben_thanh,409600,316429,0.77253173828125,3489,0.00851806640625,31,7.568359375e-05,2227,0.00543701171875,15340,0.037451171875,72084,0.175986328125,0,0.0
3012,superclass_3012.png,district_1/ben_thanh,409600,341177,0.83295166015625,2219,0.00541748046875,0,0.0,1768,0.00431640625,9063,0.02212646484375,55373,0.13518798828125,0,0.0
3013,superclass_3013.png,district_1/ben_thanh,409600,369285,0.90157470703125,4085,0.00997314453125,18,4.39453125e-05,299,0.00072998046875,5816,0.01419921875,30097,0.07347900390625,0,0.0
3014,superclass_3014.png,district_1/ben_thanh,409600,370951,0.90564208984375,2950,0.0072021484375,16,3.90625e-05,634,0.0015478515625,7394,0.0180517578125,27655,0.06751708984375,0,0.0
3015,superclass_3015.png,district_1/ben_thanh,409600,387173,0.94524658203125,582,0.0014208984375,0,0.0,623,0.00152099609375,3359,0.00820068359375,17863,0.04361083984375,0,0.0
3016,superclass_3016.png,district_1/ben_thanh,409600,381867,0.93229248046875,1370,0.0033447265625,5,1.220703125e-05,767,0.00187255859375,6334,0.0154638671875,19257,0.04701416015625,0,0.0
