osmid,y,x,street_count,highway,ref,railway,geometry
11439989934,10.6892405,106.6011921,1,,,,POINT (106.6011921 10.6892405)
11439989935,10.6893415,106.6005766,3,,,,POINT (106.6005766 10.6893415)
11440000201,10.6904892,106.60004,1,,,,POINT (106.60004 10.6904892)
11440010994,10.6904668,106.5942298,3,,,,POINT (106.5942298 10.6904668)
11440036696,10.6924903,106.5936195,1,,,,POINT (106.5936195 10.6924903)
11440055301,10.6912535,106.5971104,1,,,,POINT (106.5971104 10.6912535)
11440055303,10.6909106,106.5970041,3,,,,POINT (106.5970041 10.6909106)
11440061577,10.689881,106.5913732,1,,,,POINT (106.5913732 10.689881)
11440061578,10.6901329,106.5913914,3,,,,POINT (106.5913914 10.6901329)
11442307876,10.7993976,106.6932527,1,,,,POINT (106.6932527 10.7993976)
11442948221,10.7786656,106.775188,1,,,,POINT (106.775188 10.7786656)
11442986739,10.6961416,106.5940245,1,,,,POINT (106.5940245 10.6961416)
11442986740,10.6963456,106.5939778,3,,,,POINT (106.5939778 10.6963456)
11443028070,10.6982214,106.5975308,1,,,,POINT (106.5975308 10.6982214)
11443028073,10.6981406,106.5971865,3,,,,POINT (106.5971865 10.6981406)
11443070853,10.7633245,106.6896492,1,,,,POINT (106.6896492 10.7633245)
11443075334,10.696022,106.5951571,1,,,,POINT (106.5951571 10.696022)
11443075335,10.6964992,106.5950796,3,,,,POINT (106.5950796 10.6964992)
11443076216,10.6946482,106.6042826,1,,,,POINT (106.6042826 10.6946482)
11443078519,10.6964029,106.6011867,1,,,,POINT (106.6011867 10.6964029)
11443078520,10.6964085,106.6009816,3,,,,POINT (106.6009816 10.6964085)
11443098219,10.6908832,106.6011753,1,,,,POINT (106.6011753 10.6908832)
11443098220,10.6909372,106.6009379,3,,,,POINT (106.6009379 10.6909372)
11443098642,10.6926702,106.6022985,1,,,,POINT (106.6022985 10.6926702)
11443098643,10.6923608,106.6022542,3,,,,POINT (106.6022542 10.6923608)
11443106045,10.697895,106.5992884,1,,,,POINT (106.5992884 10.697895)
11443106046,10.6976924,106.5994328,3,,,,POINT (106.5994328 10.6976924)
11443112577,10.691017,106.6020732,1,,,,POINT (106.6020732 10.691017)
11443112578,10.6915613,106.6021123,3,,,,POINT (106.6021123 10.6915613)
11443113114,10.6934615,106.6107582,1,,,,POINT (106.6107582 10.6934615)
11443113115,10.6939316,106.6106611,3,,,,POINT (106.6106611 10.6939316)
11443122081,10.6984963,106.6062005,3,,,,POINT (106.6062005 10.6984963)
11443122082,10.6998252,106.6058309,1,,,,POINT (106.6058309 10.6998252)
11443132505,10.7953434,106.6945679,3,,,,POINT (106.6945679 10.7953434)
11443158863,10.704048,106.5963768,1,,,,POINT (106.5963768 10.704048)
11443158864,10.7042751,106.5961965,3,,,,POINT (106.5961965 10.7042751)
11443298728,10.7024535,106.602503,1,,,,POINT (106.602503 10.7024535)
11443307292,10.7038575,106.6106787,3,,,,POINT (106.6106787 10.7038575)
11443322366,10.7060771,106.6110622,3,,,,POINT (106.6110622 10.7060771)
11451587164,10.7362829,106.6549203,1,,,,POINT (106.6549203 10.7362829)
11458639079,10.8023276,106.7436266,4,,,,POINT (106.7436266 10.8023276)
11458713598,10.7972658,106.6944099,3,,,,POINT (106.6944099 10.7972658)
11458713599,10.7972072,106.6945065,3,,,,POINT (106.6945065 10.7972072)
11459152928,10.7557551,106.6914601,3,,,,POINT (106.6914601 10.7557551)
11459289589,10.7198101,106.635122,1,,,,POINT (106.635122 10.7198101)
11459320156,10.7174778,106.6346392,1,,,,POINT (106.6346392 10.7174778)
11459320159,10.7172089,106.6349098,1,,,,POINT (106.6349098 10.7172089)
11459320164,10.7171048,106.6349651,1,,,,POINT (106.6349651 10.7171048)
11459345845,10.7227887,106.6357624,1,,,,POINT (106.6357624 10.7227887)
11459345846,10.7229693,106.6353782,3,,,,POINT (106.6353782 10.7229693)
11459368295,10.7219458,106.6366062,1,,,,POINT (106.6366062 10.7219458)
11461500553,10.8106255,106.7688589,1,,,,POINT (106.7688589 10.8106255)
11462470799,10.7301173,106.6244967,1,,,,POINT (106.6244967 10.7301173)
11462470800,10.7299425,106.6251436,3,,,,POINT (106.6251436 10.7299425)
11462470801,10.7299435,106.6245022,1,,,,POINT (106.6245022 10.7299435)
11462470802,10.7309841,106.625158,1,,,,POINT (106.625158 10.7309841)
11462964345,10.7752554,106.7104492,1,,,,POINT (106.7104492 10.7752554)
11462964347,10.7761191,106.7106454,1,,,,POINT (106.7106454 10.7761191)
11463077128,10.7762864,106.7101735,3,,,,POINT (106.7101735 10.7762864)
11463077130,10.7763195,106.710022,1,,,,POINT (106.710022 10.7763195)
11463077131,10.7760131,106.7101011,3,,,,POINT (106.7101011 10.7760131)
11463077132,10.7760462,106.7099491,1,,,,POINT (106.7099491 10.7760462)
11463077134,10.7760182,106.7101886,3,,,,POINT (106.7101886 10.7760182)
11463077135,10.775374,106.7099579,3,,,,POINT (106.7099579 10.775374)
11463077137,10.7754017,106.7098017,1,,,,POINT (106.7098017 10.7754017)
11463077138,10.7757258,106.7098671,1,,,,POINT (106.7098671 10.7757258)
11463077140,10.7756953,106.7100261,3,,,,POINT (106.7100261 10.7756953)
11463077141,10.7756785,106.7101033,3,,,,POINT (106.7101033 10.7756785)
11463077142,10.775666,106.7101617,3,,,,POINT (106.7101617 10.775666)
11463082797,10.7755541,106.7111496,4,,,,POINT (106.7111496 10.7755541)
11463082801,10.7754982,106.7103339,3,,,,POINT (106.7103339 10.7754982)
11463082804,10.7755431,106.7101342,3,,,,POINT (106.7101342 10.7755431)
11463082805,10.7759562,106.7104466,3,,,,POINT (106.7104466 10.7759562)
11463082807,10.7760054,106.7102454,4,,,,POINT (106.7102454 10.7760054)
11463082826,10.7755433,106.7112034,3,,,,POINT (106.7112034 10.7755433)
11463082831,10.7733798,106.7099181,1,,,,POINT (106.7099181 10.7733798)
11463082833,10.7753204,106.7100894,3,,,,POINT (106.7100894 10.7753204)
11463082836,10.7762081,106.7103002,3,,,,POINT (106.7103002 10.7762081)
11463082845,10.7761575,106.7104986,3,,,,POINT (106.7104986 10.7761575)
11463082847,10.7752819,106.7102933,3,,,,POINT (106.7102933 10.7752819)
11464530617,10.7485534,106.6945327,3,,,,POINT (106.6945327 10.7485534)
11464530619,10.748381,106.6946913,1,,,,POINT (106.6946913 10.748381)
11464530620,10.7486055,106.6947308,3,,,,POINT (106.6947308 10.7486055)
11464530621,10.7482893,106.6948296,1,,,,POINT (106.6948296 10.7482893)
11478454905,10.7853476,106.700714,3,,,,POINT (106.700714 10.7853476)
11482168378,10.7142645,106.623023,1,,,,POINT (106.623023 10.7142645)
11482168387,10.7142909,106.6240879,3,,,,POINT (106.6240879 10.7142909)
11482168390,10.7143255,106.6239223,1,,,,POINT (106.6239223 10.7143255)
11482168392,10.714331,106.6243297,3,,,,POINT (106.6243297 10.714331)
