u,v,key,osmid,highway,name,oneway,reversed,length,geometry,maxspeed,lanes,service,ref,bridge,width,tunnel,access,junction
411920989,411920980,0,1296016143,residential,Hẻm 2 Cao Thắng,False,False,40.451171362397524,"LINESTRING (106.6852302 10.7699209, 106.6854786 10.7701907)",,,,,,,,,
411921015,411923580,0,35113531,service,Hẻm 134 Lý Chính Thắng,False,True,34.69644863965606,"LINESTRING (106.6842814 10.7883253, 106.6843424 10.7885269, 106.6843445 10.7885339, 106.6843719 10.7886244)",,,alley,,,,,,
411921015,8816392450,0,952543682,service,Hẻm 134/97 Lý Chính Thắng,False,True,24.04174274275857,"LINESTRING (106.6842814 10.7883253, 106.6841957 10.7883497, 106.68413 10.7883689, 106.6840783 10.7884031)",,,alley,,,,,,
411921053,411924265,0,35114538,service,Hẻm 263 Nguyễn Ðình Chiểu,False,False,81.69435541092898,"LINESTRING (106.6853472 10.7734636, 106.6858926 10.7729609)",,,alley,,,,,,
411921053,5763349697,0,35114668,service,Hẻm 404 Nguyễn Ðình Chiểu,False,True,162.72728787569636,"LINESTRING (106.6853472 10.7734636, 106.6842978 10.7745023)",,,alley,,,,,,
411921053,5763263832,0,723852733,secondary,Nguyễn Đình Chiểu,False,False,25.992059550602317,"LINESTRING (106.6853472 10.7734636, 106.6851826 10.7732948)",50,3,,,,,,,
411921053,5763263852,0,723852733,secondary,Nguyễn Đình Chiểu,False,True,24.420760540420112,"LINESTRING (106.6853472 10.7734636, 106.6854998 10.7736241)",50,3,,,,,,,
411921150,411921306,0,35114288,service,,False,False,14.563961061736912,"LINESTRING (106.6856585 10.7722858, 106.6857595 10.7723713)",,,alley,,,,,,
411921150,411921151,0,35114430,service,Hẻm 274 Đường Võ Văn Tần,False,False,27.838579423440425,"LINESTRING (106.6856585 10.7722858, 106.6854835 10.7724678)",,,alley,,,,,,
411921150,411921157,0,35114430,service,Hẻm 274 Đường Võ Văn Tần,False,True,54.92862551118186,"LINESTRING (106.6856585 10.7722858, 106.6860001 10.7719233)",,,alley,,,,,,
411921150,411920777,0,1207351033,service,,False,True,16.746911033171454,"LINESTRING (106.6856585 10.7722858, 106.6855427 10.7721871)",,,alley,,,,,,
411921151,411921281,0,35113891,service,,False,False,14.481283326744368,"LINESTRING (106.6854835 10.7724678, 106.6855799 10.7725572)",,,alley,,,,,,
411921151,10243653752,0,35114430,service,Hẻm 274 Đường Võ Văn Tần,False,False,8.790789584063779,"LINESTRING (106.6854835 10.7724678, 106.6854253 10.7725224)",,,alley,,,,,,
411921151,411921150,0,35114430,service,Hẻm 274 Đường Võ Văn Tần,False,True,27.838579423440425,"LINESTRING (106.6854835 10.7724678, 106.6856585 10.7722858)",,,alley,,,,,,
411921157,411921150,0,35114430,service,Hẻm 274 Đường Võ Văn Tần,False,False,54.92862551118186,"LINESTRING (106.6860001 10.7719233, 106.6856585 10.7722858)",,,alley,,,,,,
411921157,4604920479,0,1293827479,tertiary,Võ Văn Tần,False,True,17.00375766814715,"LINESTRING (106.6860001 10.7719233, 106.6861052 10.7720361)",,4,,,,,,,
411921157,411920780,0,1293827479,tertiary,Võ Văn Tần,False,False,17.30793983662238,"LINESTRING (106.6860001 10.7719233, 106.685959 10.7718792, 106.6858931 10.7718085)",,4,,,,,,,
411921169,4605217481,0,465407777,service,Hẻm 122 Trần Ðình Xu,False,True,28.07906949517893,"LINESTRING (106.688499 10.7632178, 106.6884522 10.7629695)",,,alley,,,,,,
411921169,4603731414,0,466122296,tertiary,Nguyễn Cư Trinh,False,False,44.306512082826046,"LINESTRING (106.688499 10.7632178, 106.688879 10.7633571)",60,2,,,,,,,
411921169,6789409966,0,466122296,tertiary,Nguyễn Cư Trinh,False,True,66.58812302230129,"LINESTRING (106.688499 10.7632178, 106.6880963 10.7630443, 106.6879276 10.763025)",60,2,,,,,,,
411921173,411921175,0,35113209,residential,Hẻm 145 Nguyễn Thiện Thuật,False,False,14.938489254472339,"LINESTRING (106.67912 10.767292, 106.679031 10.76719)",,,,,,,,,
411921173,411921174,0,35113209,residential,Hẻm 145 Nguyễn Thiện Thuật,False,True,62.59702794192111,"LINESTRING (106.67912 10.767292, 106.679516 10.7676989)",,,,,,,,,
411921173,411925079,0,35114873,service,,False,False,23.464692449998584,"LINESTRING (106.67912 10.767292, 106.679008 10.767407, 106.6789709 10.7674439)",,,alley,,,,,,
411921174,411921173,0,35113209,residential,Hẻm 145 Nguyễn Thiện Thuật,False,False,62.59702794192111,"LINESTRING (106.679516 10.7676989, 106.67912 10.767292)",,,,,,,,,
411921174,411921178,0,35113209,residential,Hẻm 145 Nguyễn Thiện Thuật,False,True,25.703234271613187,"LINESTRING (106.679516 10.7676989, 106.6796655 10.7678774)",,,,,,,,,
411921174,411922052,0,35114517,residential,Hẻm 145/12 Nguyễn Thiện Thuật,False,True,57.18748969505755,"LINESTRING (106.679516 10.7676989, 106.6791073 10.7680203)",,,,,,,,,
411921175,411924330,0,35113172,service,Hẻm 145/38 Nguyễn Thiện Thuật,False,False,42.25165255515377,"LINESTRING (106.679031 10.76719, 106.6786889 10.7673673)",,,alley,,,,,,
411921175,411921173,0,35113209,residential,Hẻm 145 Nguyễn Thiện Thuật,False,True,14.938489254472339,"LINESTRING (106.679031 10.76719, 106.67912 10.767292)",,,,,,,,,
411921175,5758114511,0,35113209,residential,Hẻm 145 Nguyễn Thiện Thuật,False,False,65.28004406724861,"LINESTRING (106.679031 10.76719, 106.6789266 10.7670757, 106.6788676 10.7670059, 106.6788113 10.7669189, 106.6789731 10.7667395)",,,,,,,,,
411921177,411921178,0,1041072276,residential,Hẻm 145 Nguyễn Thiện Thuật,False,False,27.107035637693453,"LINESTRING (106.6798211 10.7680673, 106.6796655 10.7678774)",,,,,,,,,
411921177,411920669,0,1311794958,service,Hẻm 51 Cao Thắng,False,True,29.97169563368654,"LINESTRING (106.6798211 10.7680673, 106.6800102 10.7682626)",,,alley,,,,,,
411921177,411920544,0,152992067,tertiary,Nguyễn Thiện Thuật,False,False,71.26641167747862,"LINESTRING (106.6798211 10.7680673, 106.6793766 10.7684338, 106.6793217 10.7684797)",,2,,,,,,,
411921177,5758114505,0,152992067,tertiary,Nguyễn Thiện Thuật,False,True,34.68180935977093,"LINESTRING (106.6798211 10.7680673, 106.6798616 10.768034, 106.6799984 10.7679211, 106.6800643 10.7678668)",,2,,,,,,,
411921178,411921174,0,35113209,residential,Hẻm 145 Nguyễn Thiện Thuật,False,False,25.703234271613187,"LINESTRING (106.6796655 10.7678774, 106.679516 10.7676989)",,,,,,,,,
411921178,411921177,0,1041072276,residential,Hẻm 145 Nguyễn Thiện Thuật,False,True,27.107035637693453,"LINESTRING (106.6796655 10.7678774, 106.6798211 10.7680673)",,,,,,,,,
411921178,411922615,0,1041072277,service,Hẻm 704 Nguyễn Đình Chiểu,False,False,32.32166335915088,"LINESTRING (106.6796655 10.7678774, 106.6799035 10.7677047)",,,alley,,,,,,
411921178,411923528,0,1041072280,service,Hẻm 704 Nguyễn Đình Chiểu,False,True,69.3901894972197,"LINESTRING (106.6796655 10.7678774, 106.6791852 10.7682858)",,,alley,,,,,,
411921193,411924981,0,35115027,service,Hẻm 102/7 Cống Quỳnh,False,True,20.286064481022088,"LINESTRING (106.691379 10.765047, 106.6913013 10.7652127)",,,alley,,,,,,
411921193,4616061870,0,464011878,service,Hẻm 102 Cống Quỳnh,False,False,103.62889151755554,"LINESTRING (106.691379 10.765047, 106.69159 10.7651618, 106.6916787 10.7652368, 106.6919094 10.7653659, 106.6921804 10.765542)",,,alley,,,,,,
411921193,4664329972,0,464011878,service,Hẻm 102 Cống Quỳnh,False,True,95.98975357617118,"LINESTRING (106.691379 10.765047, 106.6912306 10.7649721, 106.690919 10.764879, 106.6908484 10.7648442, 106.6905932 10.7646762)",,,alley,,,,,,
411921201,411921202,0,35114635,service,Hẻm 32 Cao Thắng,False,False,19.91351317737507,"LINESTRING (106.685156 10.7714457, 106.6850361 10.7713108)",,,alley,,,,,,
411921201,10241979825,0,35114802,service,Hẻm 337 Nguyễn Ðình Chiểu,False,True,22.3822615012967,"LINESTRING (106.685156 10.7714457, 106.6850056 10.7715824)",,,alley,,,,,,
411921201,6794420302,0,"[35113034, 35114635]","['service', 'pedestrian']","['Hẻm 314 Võ Văn Tần', 'Hẻm 32 Cao Thắng']",False,"[False, True]",42.00084640019017,"LINESTRING (106.685156 10.7714457, 106.6852303 10.7714961, 106.6852554 10.7715132, 106.685443 10.7713312)",,,alley,,,,,,
411921202,411925854,0,35113882,service,,False,False,30.501438293212324,"LINESTRING (106.6850361 10.7713108, 106.6852373 10.7711206)",,,alley,,,,,,
411921202,411921213,0,35114635,service,Hẻm 32 Cao Thắng,False,False,24.70365733711673,"LINESTRING (106.6850361 10.7713108, 106.6848841 10.7711463)",,,alley,,,,,,
411921202,411921201,0,35114635,service,Hẻm 32 Cao Thắng,False,True,19.91351317737507,"LINESTRING (106.6850361 10.7713108, 106.685156 10.7714457)",,,alley,,,,,,
